PROPERTY_NUMBER;PROPERTY_TYPE;PROPERTY_ID;PARCEL_ID;TAX_BILL_ID;TAX_YEAR;EFFECTIVE_RATE;TAXSET_DESCR;CLASSIFICATION_ID;CLASSIFICATION_DESCR;TAX_MARKET_TOTAL;NET_TAX_OWED_1ST;NET_TAX_OWED_2ND
713-08-016;800;438952163;71308016;782176567;2018;101,325287;Lyndhurst;4110;HOTELS;11818300;209561,46;209561,46
646-21-001;800;903220523;64621001;782125929;2018;114,881873;Euclid;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);11789900;237028,3;237028,3
901-41-004;800;103618306;90141004;781958802;2018;107,565652;Orange/Warrensville;4110;HOTELS;11783300;221808,98;221808,98
561-22-014;800;761032049;56122014;782167397;2018;62,172461;Independence;4110;HOTELS;11715000;133834,38;127461,31
211-24-311;800;2076030797;21124311;782138766;2018;70,44696;Westlake;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);11608700;143114,76;143114,76
396-25-003;800;703373305;39625003;782132040;2018;74,355749;Strongsville;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);11607500;151039,95;151039,95
742-19-013;800;203234088;74219013;782110136;2018;77,928508;Beachwood;4110;HOTELS;11559500;157642,75;157642,75
561-19-004;800;803499189;56119004;782234083;2018;62,172461;Independence;4110;HOTELS;11417800;124227,73;124227,73
120-29-024;800;703692103;12029024;781932102;2018;95,437969;Cleveland;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);11328100;198658,05;189198,14
101-14-026;800;303289673;10114026;781954597;2018;95,437969;Cleveland;4020;APARTMENTS 20-39 UNITS (WALK-UP);11219200;187379,56;187379,56
487-06-026;800;803291145;48706026;781824819;2018;74,391307;North Royalton;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);10815900;140806,75;140806,75
483-17-004;800;703267159;48317004;781823320;2018;74,391307;North Royalton;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);10812600;140763,6;140763,6
262-05-004;800;503318628;26205004;781772779;2018;97,28997;Olmsted Township;4092;CONVALESCENT HOME;10752300;183066,16;183066,16
003-18-010;800;203268675;00318010;782055218;2018;95,437969;Cleveland;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);10739700;179370,89;179370,89
113-01-003;800;203531259;11301003;782153408;2018;95,437969;Cleveland;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);10738500;179350,85;179350,85
742-31-010;800;703236298;74231010;781973730;2018;77,928508;Beachwood;4120;NURSING HOME;10729200;146319,74;146319,74
584-15-002;800;576430514;58415002;782116600;2018;77,872018;Broadview Hts./North Royalt;4092;CONVALESCENT HOME;10682700;145579,79;145579,79
792-01-003;800;903390911;79201003;782033819;2018;97,925074;Bedford Hts.;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);10673500;182910,82;182910,82
561-21-004;800;703499431;56121004;782117064;2018;62,172461;Independence;4110;HOTELS;10571800;115023,41;115023,41
454-03-001;800;603690104;45403001;781907378;2018;86,44072;Parma;4120;NURSING HOME;10556300;159686,69;159686,69
661-09-008;800;503267580;66109008;781966338;2018;103,536333;Richmond Hts.;4120;NURSING HOME;10512400;190473,2;190473,2
481-03-050;800;803232078;48103050;782076206;2018;74,391307;North Royalton;4120;NURSING HOME;10471000;141255,89;136316,49
741-27-019;800;103219840;74127019;781880241;2018;77,928508;Beachwood;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);10439000;142361,74;142361,74
441-31-004;800;903467447;44131004;782042864;2018;86,44072;Parma;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);10395900;157260,31;157260,31
648-49-003;800;103237588;64849003;782153403;2018;114,881873;Euclid;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);10327700;207631,76;207631,76
432-10-001;800;603438266;43210001;782004093;2018;78,908082;Brooklyn;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);10317000;142466,57;142466,57
953-40-002;800;403685746;95340002;781884782;2018;84,671633;Solon;4110;HOTELS;10311100;152785,31;152785,31
482-32-004;800;703262848;48232004;781824657;2018;74,391307;North Royalton;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);10303400;134134,96;134134,96
374-16-005;800;603278219;37416005;782000695;2018;84,713179;Middleburg Hts.;4080;APARTMENTS 40 OR MORE UNITS (GARDEN);10284800;152470,17;152470,17
102-32-054;800;1436276987;10232054;782006565;2018;95,437969;Cleveland;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);10197100;170308,57;170308,57
742-29-303;800;645441199;74229303;782034112;2018;77,928508;Beachwood;4110;HOTELS;10186300;138915,75;138915,75
561-20-019;800;103499299;56120019;782123924;2018;62,172461;Independence;4110;HOTELS;10166000;110608,23;110608,23
791-30-012;800;203389095;79130012;781871519;2018;97,925074;Bedford Hts.;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);10092900;172961,14;172961,14
433-19-001;800;603461585;43319001;782114794;2018;78,908082;Brooklyn;4000;COMMERCIAL VACANT LAND;10079900;139192,68;139192,68
120-29-004;800;703691851;12029004;781932104;2018;95,437969;Cleveland;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);10042400;176110,83;167724,6
742-35-005;800;1032786876;74235005;782117871;2018;104,565652;Beachwood/Warrensville;4110;HOTELS;9946600;191113,92;182013,25
831-14-301;800;533372809;83114301;782024477;2018;83,601652;Mayfield Village;4110;HOTELS;9901400;152103,37;144860,35
101-27-331;800;1655137833;10127331;782127948;2018;95,437969;Cleveland;4110;HOTELS;9880300;165017,49;165017,49
211-26-303;800;1962750421;21126303;782159830;2018;70,44696;Westlake;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);9804000;120865,85;120865,85
714-22-039;800;503599968;71422039;781880945;2018;101,325287;Lyndhurst;4070;APARTMENTS 40 OR MORE UNITS (ELEVATOR);9787400;173549,45;173549,45
212-12-003;800;803667192;21212003;782255799;2018;70,44696;Westlake;4030;APARTMENTS 40 OR MORE UNITS (WALK-UP);9737600;120047,61;120047,61
721-07-008;800;256167350;72107008;782120339;2018;143,158786;University Hts.;4094;DORMITORIES;9605700;252682,42;240649,92
561-19-005;800;303499193;56119005;781843566;2018;62,172461;Independence;4110;HOTELS;9574400;104171,2;104171,2
661-09-015;800;903267620;66109015;782147427;2018;103,536333;Richmond Hts.;4120;NURSING HOME;9510800;180941,62;172325,35
